O#O#..###,-3725346178019872069,0.8087819,8927,0.8087819,8927
####.O##O,-2340820052431931213,0.46934727,9526,0.46934727,9526
####.O##.,-7763956401322993828,0.07824636,1802,0.07824636,1802
O#O#..##.,-3276764976406877035,0.92404157,9966,0.92404157,9966
O#O#..#.O,-4329169177180427324,0.9193144,7585,0.9193144,7585
####.O#.#,-3448378101917163060,0.68616754,7555,0.68616754,7555
O#O#..#.#,-7574329762061247995,0.8435378,9408,0.8435378,9408
####.O#.O,-8850199142048116723,0.13426508,7299,0.13426508,7299
####.O#..,-3535720861406691358,0.07480881,6149,0.07480881,6149
O#O#..#..,-8635390839117577173,0.94693834,39407,0.94693834,39407
####.OOOO,1405048558133205390,0.38396096,10225,0.38396096,10225
O#O#..OO#,49796654758269830,0.9554974,764,0.90322316,3352
####.OOO#,5077417839213209679,0.8798801,5994,0.8798801,5994
O#O#..OOO,6177189832039735879,0.90085775,4781,0.90085775,4781
O#O#..OO.,2196234025755545000,0.9118896,3768,0.89348644,6981
####.OOO.,6394234478870361697,0.49058092,13908,0.49058092,13908
O#O#..O##,-2922212774806925759,0.9729768,14210,0.9330096,16836
####.OO#O,-4270147995499199415,0.85905343,9195,0.85905343,9195
####.OO##,-7947653079190456952,0.9026742,21762,0.9026742,21762
O#O#..O#O,-9044610889449537664,0.9736842,1292,0.9736842,1292
O#O#..O#.,-3911297075990376337,0.9813958,11449,0.9344432,18609
####.OO#.,-8106974809817633882,0.77832395,9983,0.7533899,10359
####.OO.O,-7056268357682385673,0.60666716,5789,0.60666716,5789
O#O#..O.#,-8224614554526947585,0.9577465,1136,0.8945903,14517
####.OO.#,-3811670398345437898,0.8385479,2397,0.8385479,2397
O#O#..O.O,-2822230823622322370,0.96641386,1846,0.96641386,1846
O#O#..O..,-7848029923217344303,0.96806246,5636,0.9570024,11427
####.OO..,-3039851643544272104,0.5171437,3237,0.5171437,3237
####.O.O.,-4194941207828883127,0.4945111,3917,0.4945111,3917
O#O#...O.,-9003005275902287232,0.9714884,10943,0.96300006,12233
O#O#...OO,-3977320312780141201,0.9387903,4166,0.9387903,4166
####.O.O#,-2665306566795622553,0.8840413,3484,0.8840413,3484
O#O#...O#,-7078364934845236050,0.9583333,960,0.90297943,4680
####.O.OO,-8211243635168168282,0.09555343,1057,0.09555343,1057
####.O.#.,1299935073783432334,0.21023771,2735,0.21023771,2735
